studyDay,tod,LAMP3,SERPING1,TNFAIP6,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,RSAD2,RTP4,SIGLEC1,ISG15,ATF3,MX1,DDX58,LY6E,HERC5,OAS1,OAS2,OAS3,OASL,XAF1
-3.0,0.0,0.0,1.0,4.0,1.0,11.0,27.0,30.0,51.0,131.0,91.0,22.0,4.0,1.0,13.0,1.0,64.0,68.0,15.0,31.0,17.0,48.0,27.0,19.0,46.0
-3.0,1.0,5.0,1.0,15.0,3.0,91.0,147.0,125.0,178.0,595.0,351.0,125.0,24.0,9.0,72.0,2.0,288.0,345.0,63.0,128.0,73.0,190.0,152.0,82.0,201.0
-3.0,2.0,0.0,1.0,3.0,0.0,8.0,9.0,5.0,10.0,39.0,20.0,7.0,0.0,2.0,6.0,0.0,11.0,26.0,4.0,6.0,6.0,12.0,12.0,2.0,15.0
-2.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,7.0,5.0,18.0,7.0,4.0,1.0,3.0,4.0,0.0,9.0,11.0,4.0,4.0,6.0,11.0,13.0,4.0,12.0
-2.0,1.0,2.0,5.0,62.0,4.0,84.0,118.0,132.0,164.0,610.0,329.0,97.0,30.0,5.0,72.0,0.0,285.0,432.0,40.0,114.0,90.0,216.0,126.0,96.0,174.0
-2.0,2.0,1.0,2.0,4.0,0.0,3.0,14.0,8.0,17.0,49.0,53.0,6.0,0.0,0.0,6.0,0.0,23.0,38.0,9.0,4.0,9.0,16.0,7.0,8.0,17.0
-1.0,0.0,0.0,1.0,23.0,4.0,49.0,87.0,70.0,94.0,338.0,226.0,61.0,10.0,2.0,37.0,0.0,151.0,243.0,27.0,67.0,59.0,113.0,63.0,41.0,86.0
-1.0,1.0,1.0,1.0,12.0,0.0,26.0,52.0,56.0,44.0,174.0,119.0,28.0,6.0,3.0,19.0,1.0,112.0,162.0,19.0,44.0,19.0,65.0,66.0,21.0,69.0
-1.0,2.0,4.0,8.0,48.0,6.0,88.0,152.0,143.0,158.0,663.0,398.0,115.0,40.0,8.0,90.0,0.0,369.0,502.0,90.0,135.0,127.0,255.0,160.0,78.0,207.0
0.0,0.0,5.0,4.0,27.0,3.0,59.0,104.0,116.0,156.0,373.0,258.0,68.0,16.0,0.0,55.0,0.0,143.0,261.0,38.0,70.0,75.0,131.0,91.0,43.0,145.0
0.0,1.0,0.0,0.0,2.0,0.0,2.0,11.0,5.0,13.0,42.0,32.0,4.0,2.0,1.0,3.0,0.0,20.0,18.0,1.0,5.0,10.0,7.0,14.0,3.0,12.0
0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,3.0,10.0,87.0,3.0,188.0,292.0,267.0,367.0,1221.0,705.0,223.0,43.0,13.0,162.0,3.0,498.0,628.0,93.0,250.0,185.0,299.0,213.0,116.0,298.0
1.0,1.0,3.0,7.0,89.0,6.0,202.0,340.0,282.0,410.0,1482.0,851.0,249.0,57.0,20.0,158.0,5.0,668.0,990.0,125.0,233.0,261.0,502.0,300.0,163.0,466.0
1.0,2.0,24.0,28.0,94.0,2.0,419.0,694.0,396.0,1957.0,4632.0,2288.0,923.0,55.0,33.0,463.0,7.0,1704.0,1456.0,111.0,898.0,326.0,504.0,631.0,351.0,516.0
2.0,0.0,530.0,278.0,1155.0,30.0,2375.0,4686.0,3986.0,8827.0,24824.0,13030.0,10713.0,278.0,196.0,7412.0,62.0,7591.0,7777.0,726.0,5758.0,2212.0,3602.0,5055.0,2705.0,1967.0
2.0,1.0,112.0,95.0,355.0,24.0,717.0,1916.0,1447.0,2201.0,4811.0,3733.0,3338.0,120.0,93.0,2045.0,8.0,1704.0,1625.0,316.0,1274.0,711.0,1030.0,1190.0,762.0,826.0
2.0,2.0,67.0,146.0,408.0,81.0,1713.0,4472.0,2367.0,3012.0,5969.0,5639.0,5098.0,243.0,217.0,1899.0,11.0,3422.0,2815.0,753.0,1641.0,1815.0,2677.0,3147.0,940.0,2313.0
3.0,0.0,17.0,55.0,163.0,53.0,766.0,1842.0,757.0,1302.0,2368.0,2370.0,1796.0,103.0,92.0,544.0,1.0,1115.0,937.0,275.0,587.0,648.0,831.0,935.0,328.0,811.0
3.0,1.0,8.0,21.0,68.0,54.0,293.0,817.0,312.0,421.0,941.0,871.0,662.0,37.0,40.0,245.0,2.0,471.0,468.0,149.0,225.0,262.0,419.0,444.0,184.0,445.0
3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,7.0,67.0,241.0,877.0,914.0,1689.0,968.0,1538.0,3166.0,2846.0,1722.0,165.0,63.0,776.0,5.0,1436.0,1369.0,457.0,665.0,925.0,1084.0,1077.0,507.0,1090.0
4.0,1.0,1.0,8.0,12.0,10.0,32.0,87.0,29.0,56.0,159.0,129.0,78.0,3.0,1.0,26.0,0.0,49.0,68.0,34.0,27.0,47.0,51.0,74.0,16.0,65.0
