studyDay,tod,LAMP3,SERPING1,TNFAIP6,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,RSAD2,RTP4,SIGLEC1,ISG15,ATF3,MX1,DDX58,LY6E,HERC5,OAS1,OAS2,OAS3,OASL,XAF1
-3.0,0.0,22.0,122.0,266.0,17.0,592.0,1391.0,1099.0,827.0,2976.0,3151.0,1764.0,136.0,25.0,661.0,30.0,1057.0,1751.0,168.0,650.0,686.0,720.0,940.0,552.0,840.0
-3.0,1.0,7.0,99.0,171.0,9.0,487.0,1037.0,865.0,656.0,2040.0,2092.0,1171.0,133.0,26.0,504.0,10.0,684.0,1170.0,118.0,474.0,556.0,548.0,786.0,486.0,571.0
-3.0,2.0,2.0,20.0,38.0,8.0,90.0,242.0,204.0,199.0,564.0,560.0,294.0,33.0,8.0,113.0,6.0,224.0,341.0,44.0,135.0,144.0,200.0,241.0,108.0,184.0
-2.0,0.0,8.0,27.0,118.0,30.0,235.0,459.0,453.0,484.0,1636.0,1550.0,680.0,72.0,10.0,258.0,11.0,386.0,820.0,91.0,312.0,365.0,381.0,256.0,220.0,368.0
-2.0,1.0,0.0,0.0,5.0,1.0,6.0,24.0,16.0,14.0,54.0,41.0,25.0,3.0,0.0,15.0,0.0,23.0,21.0,2.0,12.0,18.0,28.0,32.0,15.0,19.0
-2.0,2.0,1.0,23.0,47.0,23.0,147.0,210.0,257.0,274.0,1082.0,836.0,345.0,46.0,6.0,175.0,1.0,274.0,568.0,74.0,201.0,203.0,281.0,164.0,198.0,254.0
-1.0,0.0,5.0,27.0,97.0,5.0,178.0,293.0,313.0,312.0,1261.0,1127.0,404.0,55.0,5.0,189.0,7.0,271.0,686.0,76.0,223.0,209.0,203.0,233.0,204.0,257.0
-1.0,1.0,9.0,55.0,100.0,17.0,235.0,387.0,409.0,441.0,1729.0,1530.0,559.0,77.0,21.0,260.0,5.0,499.0,938.0,123.0,340.0,369.0,487.0,459.0,410.0,465.0
-1.0,2.0,5.0,45.0,44.0,28.0,153.0,256.0,322.0,207.0,1045.0,869.0,335.0,54.0,17.0,201.0,4.0,475.0,801.0,129.0,224.0,294.0,485.0,319.0,276.0,319.0
0.0,0.0,9.0,32.0,141.0,45.0,275.0,408.0,542.0,486.0,2135.0,1830.0,546.0,94.0,10.0,345.0,3.0,508.0,1294.0,102.0,354.0,334.0,424.0,320.0,485.0,471.0
0.0,1.0,3.0,21.0,77.0,9.0,157.0,189.0,244.0,321.0,1450.0,998.0,348.0,36.0,3.0,136.0,2.0,340.0,721.0,67.0,228.0,163.0,252.0,198.0,309.0,290.0
0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,2.0,9.0,19.0,8.0,39.0,45.0,48.0,58.0,335.0,208.0,65.0,14.0,4.0,61.0,1.0,121.0,228.0,24.0,65.0,65.0,104.0,86.0,79.0,94.0
1.0,1.0,0.0,1.0,2.0,0.0,4.0,8.0,5.0,10.0,25.0,12.0,12.0,0.0,0.0,5.0,0.0,5.0,23.0,2.0,3.0,3.0,3.0,5.0,4.0,6.0
1.0,2.0,8.0,17.0,29.0,8.0,151.0,204.0,204.0,366.0,1440.0,991.0,312.0,35.0,18.0,165.0,4.0,381.0,606.0,49.0,230.0,176.0,251.0,210.0,203.0,253.0
2.0,0.0,216.0,214.0,487.0,28.0,1965.0,3452.0,2901.0,6123.0,18621.0,10711.0,8451.0,209.0,221.0,3964.0,43.0,6540.0,6365.0,320.0,4728.0,1744.0,2293.0,3637.0,2672.0,1754.0
2.0,1.0,506.0,405.0,1100.0,54.0,3766.0,8635.0,5924.0,9243.0,23288.0,16851.0,15696.0,504.0,300.0,8645.0,72.0,8715.0,8912.0,762.0,6090.0,3790.0,4318.0,6550.0,4593.0,2791.0
2.0,2.0,83.0,76.0,193.0,21.0,799.0,2067.0,1219.0,1594.0,3667.0,3156.0,3035.0,105.0,114.0,1550.0,11.0,1769.0,1458.0,253.0,1123.0,939.0,1076.0,1633.0,787.0,717.0
3.0,0.0,46.0,49.0,140.0,40.0,803.0,2203.0,1149.0,1442.0,3217.0,2881.0,3062.0,104.0,95.0,1317.0,8.0,1697.0,1312.0,303.0,933.0,1088.0,1300.0,1577.0,772.0,648.0
3.0,1.0,19.0,24.0,88.0,139.0,452.0,1250.0,673.0,761.0,1405.0,1607.0,1416.0,81.0,72.0,627.0,4.0,689.0,631.0,224.0,432.0,562.0,620.0,823.0,405.0,449.0
3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,0.0,3.0,9.0,282.0,78.0,218.0,116.0,105.0,271.0,292.0,193.0,8.0,13.0,124.0,0.0,168.0,136.0,57.0,66.0,103.0,130.0,128.0,92.0,113.0
4.0,1.0,6.0,15.0,36.0,1089.0,207.0,416.0,267.0,312.0,743.0,818.0,446.0,42.0,29.0,359.0,2.0,336.0,412.0,133.0,177.0,329.0,300.0,346.0,210.0,256.0
