studyDay,tod,LAMP3,SERPING1,TNFAIP6,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,RSAD2,RTP4,SIGLEC1,ISG15,ATF3,MX1,DDX58,LY6E,HERC5,OAS1,OAS2,OAS3,OASL,XAF1
-3.0,0.0,64.0,69.0,150.0,8.0,457.0,719.0,911.0,2087.0,6082.0,2987.0,1748.0,66.0,111.0,1408.0,11.0,2750.0,1944.0,176.0,1459.0,527.0,789.0,1034.0,752.0,592.0
-3.0,1.0,249.0,179.0,700.0,79.0,1778.0,3390.0,3806.0,7758.0,17577.0,10361.0,7692.0,169.0,267.0,5033.0,52.0,5019.0,3980.0,635.0,3372.0,2065.0,1919.0,2556.0,1701.0,1551.0
-3.0,2.0,4.0,10.0,39.0,13.0,86.0,110.0,149.0,152.0,996.0,444.0,97.0,45.0,8.0,126.0,3.0,274.0,540.0,85.0,109.0,229.0,361.0,125.0,94.0,214.0
-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.0,1.0,88.0,133.0,208.0,67.0,1083.0,2665.0,2315.0,2288.0,6976.0,5063.0,4448.0,148.0,233.0,2321.0,9.0,3551.0,2115.0,677.0,1563.0,1806.0,2009.0,2272.0,1054.0,1353.0
-2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,2.0,0.0,3.0,42.0,9.0,81.0,72.0,115.0,116.0,875.0,413.0,96.0,34.0,8.0,102.0,1.0,276.0,525.0,68.0,92.0,203.0,318.0,118.0,110.0,180.0
0.0,0.0,6.0,15.0,24.0,49.0,121.0,278.0,171.0,171.0,803.0,456.0,223.0,37.0,29.0,160.0,2.0,345.0,420.0,90.0,146.0,232.0,328.0,292.0,104.0,271.0
0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,8.0,3.0,58.0,12.0,65.0,84.0,137.0,143.0,889.0,433.0,80.0,22.0,2.0,101.0,1.0,203.0,454.0,63.0,108.0,155.0,222.0,98.0,71.0,159.0
1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,4.0,9.0,37.0,18.0,106.0,119.0,175.0,272.0,1359.0,654.0,163.0,46.0,15.0,162.0,1.0,516.0,576.0,100.0,162.0,288.0,422.0,198.0,139.0,257.0
2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.0,1.0,6.0,61.0,15.0,90.0,126.0,179.0,157.0,854.0,457.0,157.0,33.0,19.0,149.0,3.0,325.0,543.0,93.0,130.0,144.0,267.0,143.0,125.0,223.0
