studyDay,tod,LAMP3,SERPING1,TNFAIP6,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,RSAD2,RTP4,SIGLEC1,ISG15,ATF3,MX1,DDX58,LY6E,HERC5,OAS1,OAS2,OAS3,OASL,XAF1
-3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,11.0,1.0,34.0,23.0,5.0,2.0,0.0,3.0,0.0,15.0,23.0,6.0,4.0,7.0,23.0,14.0,6.0,14.0
-3.0,1.0,2.0,7.0,76.0,8.0,78.0,135.0,226.0,199.0,981.0,563.0,155.0,40.0,17.0,132.0,4.0,347.0,506.0,82.0,164.0,148.0,303.0,146.0,174.0,206.0
-3.0,2.0,5.0,10.0,77.0,9.0,138.0,193.0,202.0,206.0,865.0,501.0,176.0,47.0,15.0,160.0,4.0,415.0,640.0,115.0,171.0,235.0,504.0,210.0,145.0,336.0
-2.0,0.0,11.0,6.0,113.0,5.0,193.0,184.0,280.0,341.0,1086.0,642.0,171.0,65.0,6.0,209.0,2.0,284.0,549.0,112.0,140.0,205.0,303.0,118.0,114.0,294.0
-2.0,1.0,3.0,10.0,94.0,10.0,112.0,149.0,191.0,203.0,934.0,518.0,164.0,55.0,13.0,153.0,3.0,416.0,619.0,102.0,166.0,164.0,407.0,156.0,210.0,297.0
-2.0,2.0,4.0,19.0,141.0,11.0,99.0,155.0,258.0,273.0,1501.0,749.0,188.0,45.0,13.0,176.0,1.0,478.0,745.0,89.0,192.0,199.0,399.0,190.0,241.0,306.0
-1.0,0.0,8.0,9.0,61.0,14.0,110.0,186.0,252.0,249.0,1085.0,650.0,181.0,42.0,12.0,190.0,1.0,389.0,629.0,113.0,204.0,219.0,397.0,184.0,165.0,283.0
-1.0,1.0,4.0,5.0,76.0,13.0,123.0,186.0,229.0,236.0,988.0,570.0,166.0,50.0,16.0,167.0,3.0,393.0,670.0,108.0,175.0,222.0,360.0,178.0,176.0,264.0
-1.0,2.0,5.0,6.0,61.0,11.0,120.0,136.0,186.0,163.0,825.0,459.0,144.0,47.0,8.0,147.0,0.0,367.0,560.0,98.0,138.0,163.0,404.0,154.0,161.0,251.0
0.0,0.0,4.0,7.0,92.0,5.0,136.0,173.0,250.0,236.0,737.0,497.0,150.0,46.0,13.0,163.0,0.0,240.0,538.0,96.0,150.0,176.0,283.0,116.0,96.0,214.0
0.0,1.0,6.0,15.0,109.0,18.0,124.0,197.0,232.0,203.0,1224.0,619.0,202.0,60.0,10.0,191.0,4.0,436.0,789.0,112.0,184.0,219.0,493.0,211.0,209.0,324.0
0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,9.0,16.0,52.0,10.0,115.0,135.0,178.0,149.0,891.0,500.0,150.0,28.0,17.0,143.0,2.0,438.0,569.0,107.0,143.0,160.0,336.0,190.0,147.0,229.0
1.0,1.0,6.0,6.0,137.0,11.0,106.0,153.0,282.0,262.0,1157.0,649.0,165.0,38.0,17.0,130.0,2.0,276.0,588.0,67.0,141.0,155.0,252.0,119.0,183.0,211.0
1.0,2.0,6.0,16.0,57.0,13.0,114.0,150.0,207.0,161.0,943.0,528.0,165.0,49.0,7.0,141.0,0.0,441.0,626.0,115.0,165.0,217.0,483.0,183.0,161.0,273.0
2.0,0.0,9.0,17.0,84.0,23.0,129.0,200.0,275.0,290.0,1199.0,652.0,209.0,34.0,10.0,205.0,2.0,571.0,661.0,141.0,225.0,233.0,441.0,239.0,229.0,293.0
2.0,1.0,12.0,42.0,127.0,25.0,265.0,457.0,493.0,972.0,2410.0,1732.0,658.0,74.0,38.0,431.0,2.0,1250.0,1155.0,188.0,516.0,359.0,632.0,511.0,452.0,502.0
2.0,2.0,19.0,33.0,98.0,22.0,374.0,665.0,854.0,964.0,2512.0,1876.0,939.0,88.0,51.0,533.0,5.0,1276.0,1199.0,226.0,597.0,416.0,674.0,591.0,403.0,618.0
3.0,0.0,12.0,16.0,22.0,7.0,139.0,240.0,227.0,361.0,997.0,712.0,453.0,26.0,22.0,126.0,5.0,542.0,426.0,72.0,273.0,171.0,246.0,221.0,142.0,232.0
3.0,1.0,21.0,61.0,342.0,30.0,809.0,1481.0,1803.0,2364.0,4896.0,3884.0,2159.0,122.0,83.0,1124.0,13.0,1812.0,1906.0,337.0,1078.0,676.0,916.0,1089.0,770.0,999.0
3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,14.0,37.0,112.0,38.0,339.0,694.0,652.0,688.0,1858.0,1412.0,945.0,85.0,60.0,449.0,6.0,1090.0,1014.0,223.0,501.0,423.0,753.0,632.0,346.0,522.0
4.0,1.0,5.0,29.0,157.0,43.0,362.0,690.0,693.0,748.0,2265.0,1643.0,894.0,70.0,43.0,419.0,5.0,991.0,1078.0,191.0,505.0,430.0,656.0,569.0,381.0,572.0
