studyDay,tod,LAMP3,SERPING1,TNFAIP6,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,RSAD2,RTP4,SIGLEC1,ISG15,ATF3,MX1,DDX58,LY6E,HERC5,OAS1,OAS2,OAS3,OASL,XAF1
-3.0,0.0,3.0,8.0,78.0,51.0,141.0,97.0,391.0,363.0,1834.0,911.0,248.0,39.0,11.0,257.0,2.0,354.0,716.0,54.0,226.0,399.0,259.0,172.0,153.0,235.0
-3.0,1.0,4.0,21.0,120.0,39.0,138.0,145.0,293.0,338.0,1670.0,906.0,190.0,37.0,19.0,200.0,4.0,290.0,791.0,43.0,203.0,297.0,293.0,242.0,149.0,337.0
-3.0,2.0,4.0,9.0,105.0,57.0,118.0,143.0,314.0,401.0,2068.0,934.0,254.0,34.0,12.0,210.0,0.0,396.0,930.0,60.0,258.0,431.0,360.0,209.0,156.0,308.0
-2.0,0.0,5.0,11.0,99.0,76.0,139.0,124.0,319.0,339.0,1760.0,781.0,244.0,40.0,7.0,238.0,1.0,318.0,740.0,62.0,200.0,413.0,290.0,147.0,153.0,228.0
-2.0,1.0,7.0,8.0,82.0,47.0,167.0,170.0,285.0,422.0,1850.0,953.0,233.0,31.0,9.0,236.0,1.0,343.0,753.0,41.0,187.0,289.0,275.0,162.0,140.0,287.0
-2.0,2.0,1.0,6.0,34.0,20.0,74.0,55.0,126.0,183.0,676.0,344.0,75.0,19.0,11.0,89.0,1.0,159.0,328.0,25.0,75.0,185.0,142.0,88.0,66.0,161.0
-1.0,0.0,6.0,22.0,118.0,50.0,183.0,204.0,295.0,488.0,2323.0,1093.0,281.0,47.0,20.0,195.0,3.0,429.0,1041.0,70.0,235.0,494.0,397.0,243.0,214.0,399.0
-1.0,1.0,8.0,21.0,85.0,41.0,137.0,125.0,345.0,400.0,1892.0,969.0,219.0,41.0,11.0,275.0,2.0,345.0,788.0,62.0,206.0,399.0,281.0,172.0,164.0,267.0
-1.0,2.0,1.0,5.0,24.0,35.0,79.0,69.0,185.0,146.0,734.0,365.0,124.0,20.0,11.0,99.0,2.0,217.0,409.0,51.0,111.0,209.0,217.0,131.0,90.0,160.0
0.0,0.0,0.0,2.0,41.0,28.0,53.0,53.0,140.0,149.0,581.0,296.0,96.0,14.0,4.0,76.0,0.0,107.0,253.0,23.0,74.0,116.0,88.0,54.0,63.0,84.0
0.0,1.0,0.0,9.0,68.0,35.0,93.0,128.0,243.0,253.0,1233.0,673.0,197.0,40.0,26.0,170.0,1.0,281.0,641.0,79.0,167.0,276.0,267.0,167.0,152.0,259.0
0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,6.0,8.0,93.0,84.0,158.0,166.0,323.0,439.0,1710.0,907.0,248.0,39.0,19.0,265.0,0.0,286.0,772.0,75.0,221.0,486.0,323.0,201.0,172.0,346.0
1.0,1.0,3.0,9.0,65.0,39.0,99.0,96.0,221.0,377.0,1382.0,722.0,204.0,20.0,16.0,180.0,3.0,247.0,529.0,32.0,166.0,237.0,190.0,143.0,112.0,223.0
1.0,2.0,62.0,96.0,401.0,53.0,1166.0,1762.0,2201.0,7352.0,19879.0,10421.0,5997.0,118.0,112.0,3527.0,15.0,4636.0,4523.0,163.0,3883.0,1726.0,1225.0,1610.0,1705.0,1295.0
2.0,0.0,218.0,166.0,407.0,35.0,1021.0,1854.0,2451.0,5131.0,13773.0,7675.0,7232.0,127.0,120.0,4185.0,28.0,3312.0,3445.0,197.0,2988.0,1880.0,1561.0,2418.0,1612.0,1005.0
2.0,1.0,76.0,126.0,396.0,84.0,2016.0,3886.0,4301.0,5369.0,8856.0,7708.0,6640.0,224.0,275.0,3573.0,7.0,2467.0,2624.0,484.0,1982.0,2814.0,1757.0,2395.0,1101.0,1868.0
2.0,2.0,47.0,60.0,245.0,237.0,1385.0,3359.0,2747.0,3558.0,6490.0,5474.0,5308.0,193.0,219.0,2550.0,6.0,2231.0,2007.0,405.0,1559.0,2704.0,1729.0,1698.0,902.0,1399.0
3.0,0.0,55.0,118.0,513.0,819.0,2642.0,6042.0,3710.0,6794.0,13153.0,10927.0,9815.0,342.0,312.0,3951.0,4.0,3875.0,3613.0,680.0,3030.0,4950.0,3040.0,3334.0,1722.0,2727.0
3.0,1.0,44.0,97.0,400.0,1743.0,2193.0,4879.0,3133.0,5039.0,10088.0,8934.0,7891.0,323.0,256.0,3511.0,7.0,2751.0,2953.0,613.0,2185.0,4209.0,2342.0,2648.0,1306.0,2287.0
3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,15.0,43.0,218.0,4413.0,1135.0,2527.0,1950.0,2745.0,4865.0,4540.0,3763.0,145.0,118.0,2280.0,1.0,1233.0,1408.0,391.0,1129.0,2164.0,1055.0,1148.0,751.0,1206.0
4.0,1.0,8.0,52.0,118.0,2966.0,667.0,1523.0,1193.0,1287.0,2249.0,2057.0,1883.0,90.0,181.0,1309.0,7.0,951.0,1019.0,426.0,636.0,1295.0,990.0,1867.0,445.0,912.0
