studyDay,tod,LAMP3,SERPING1,TNFAIP6,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,RSAD2,RTP4,SIGLEC1,ISG15,ATF3,MX1,DDX58,LY6E,HERC5,OAS1,OAS2,OAS3,OASL,XAF1
-3.0,0.0,6.0,20.0,67.0,25.0,74.0,119.0,187.0,155.0,747.0,467.0,168.0,38.0,12.0,107.0,5.0,275.0,509.0,56.0,131.0,168.0,233.0,128.0,98.0,203.0
-3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,2.0,13.0,48.0,92.0,19.0,199.0,312.0,300.0,511.0,1585.0,1060.0,325.0,41.0,21.0,157.0,1.0,909.0,797.0,77.0,299.0,252.0,415.0,296.0,166.0,409.0
-2.0,0.0,327.0,168.0,740.0,41.0,1330.0,2462.0,2437.0,4811.0,12743.0,7384.0,6071.0,183.0,199.0,3680.0,60.0,5047.0,4455.0,371.0,3291.0,1387.0,2095.0,2867.0,1589.0,1312.0
-2.0,1.0,40.0,86.0,188.0,52.0,521.0,1012.0,1098.0,1230.0,4037.0,2703.0,1833.0,70.0,132.0,625.0,4.0,2397.0,1716.0,187.0,1087.0,654.0,1083.0,1462.0,450.0,860.0
-2.0,2.0,33.0,69.0,131.0,478.0,828.0,1781.0,1363.0,1458.0,3517.0,2799.0,2409.0,113.0,115.0,915.0,5.0,2148.0,1476.0,360.0,927.0,944.0,1312.0,1442.0,521.0,1056.0
-1.0,0.0,34.0,56.0,138.0,121.0,619.0,1519.0,1162.0,1193.0,2538.0,2302.0,1767.0,104.0,92.0,770.0,5.0,1619.0,1105.0,267.0,733.0,683.0,921.0,992.0,427.0,836.0
-1.0,1.0,160.0,134.0,401.0,129.0,1201.0,2753.0,2171.0,3004.0,6235.0,4750.0,4426.0,180.0,206.0,2821.0,14.0,2801.0,2200.0,450.0,1592.0,1185.0,1767.0,2294.0,1080.0,1249.0
-1.0,2.0,4.0,15.0,39.0,22.0,112.0,189.0,246.0,227.0,782.0,525.0,197.0,28.0,15.0,115.0,2.0,439.0,464.0,101.0,153.0,254.0,358.0,208.0,94.0,284.0
0.0,0.0,1.0,10.0,56.0,31.0,90.0,170.0,201.0,226.0,730.0,491.0,205.0,25.0,9.0,118.0,1.0,288.0,398.0,64.0,154.0,145.0,209.0,137.0,98.0,158.0
0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,6.0,4.0,37.0,33.0,58.0,87.0,122.0,136.0,585.0,339.0,129.0,34.0,6.0,70.0,2.0,240.0,364.0,54.0,75.0,124.0,193.0,104.0,81.0,165.0
1.0,1.0,6.0,15.0,85.0,36.0,175.0,191.0,260.0,400.0,1462.0,901.0,222.0,44.0,15.0,127.0,2.0,532.0,805.0,110.0,212.0,330.0,427.0,232.0,172.0,355.0
1.0,2.0,12.0,16.0,70.0,841.0,234.0,538.0,371.0,315.0,843.0,735.0,495.0,71.0,44.0,365.0,5.0,430.0,532.0,155.0,200.0,339.0,443.0,334.0,159.0,379.0
2.0,0.0,9.0,21.0,111.0,2476.0,172.0,345.0,374.0,406.0,1608.0,911.0,434.0,69.0,25.0,287.0,5.0,589.0,860.0,194.0,242.0,427.0,587.0,327.0,235.0,412.0
2.0,1.0,1.0,6.0,66.0,39.0,77.0,126.0,212.0,177.0,838.0,496.0,202.0,34.0,8.0,105.0,3.0,330.0,572.0,82.0,170.0,165.0,275.0,131.0,101.0,208.0
2.0,2.0,7.0,16.0,71.0,25.0,93.0,123.0,170.0,168.0,760.0,459.0,99.0,39.0,7.0,114.0,3.0,326.0,503.0,64.0,128.0,176.0,283.0,152.0,98.0,243.0
3.0,0.0,5.0,14.0,47.0,29.0,45.0,86.0,131.0,106.0,569.0,307.0,96.0,31.0,7.0,70.0,4.0,211.0,403.0,53.0,83.0,125.0,220.0,109.0,76.0,153.0
3.0,1.0,3.0,11.0,48.0,31.0,81.0,76.0,133.0,139.0,756.0,398.0,107.0,17.0,5.0,78.0,1.0,269.0,389.0,61.0,100.0,140.0,204.0,108.0,72.0,176.0
3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,4.0,5.0,50.0,21.0,53.0,96.0,121.0,114.0,546.0,317.0,107.0,19.0,5.0,77.0,0.0,259.0,368.0,68.0,85.0,109.0,195.0,108.0,74.0,136.0
4.0,1.0,5.0,16.0,74.0,1897.0,182.0,328.0,299.0,315.0,932.0,785.0,387.0,51.0,10.0,228.0,3.0,386.0,504.0,113.0,167.0,271.0,348.0,240.0,155.0,301.0
