timestamp,TEMP,HR,EDA,BVP,IBI,ACC_x,ACC_y,ACC_z
2015-09-15_04:30:00,36.39848913823179,86.80678929352858,1.4727558316397935,0.005990147001213933,0.7864465279681238,-39.636058433898924,6.953234733690227,-4.5639415661010805
2015-09-15_05:00:00,37.4865142361323,76.11215565999349,0.911391788374264,-0.009712760464640776,0.8545267220153365,-27.0996875,5.402951388888888,21.29828125
2015-09-15_05:30:00,38.04494345135159,67.32005003611246,0.9664182722139067,0.005924311891560339,0.9000583311550555,-23.628663194444453,-41.78401041666667,19.069288194444443
2015-09-15_06:00:00,38.32892944071028,68.54862770080567,0.4602110910477738,0.006649130052650839,0.8886185786865314,10.688229166666666,-46.26010416666666,33.291493055555556
2015-09-15_06:30:00,38.41514464961158,64.71302771674262,0.3832453701686528,0.0007148405139580264,0.9186866156017508,17.26654513888889,-45.20541666666666,32.7459375
2015-09-15_07:00:00,38.032293247646756,65.43436676025391,0.4044994190327513,-0.015978128602647402,0.9664236755394431,-2.4155034722222224,-16.103506944444444,18.12046875
2015-09-15_07:30:00,37.55975454012553,58.500838892194956,1.0545363962593386,0.00495755005702247,1.069682796953055,-2.878836805555556,26.761944444444445,46.815503472222225
2015-09-15_08:00:00,38.10192515956032,50.12287221272786,4.888832218713231,0.0002627623064715105,1.1908439889147475,8.107135416666667,12.632118055555555,61.554375
2015-09-15_08:30:00,35.811603068775604,56.397900019751646,3.1731942111005385,-0.010017360751759649,1.0698481861850482,10.027951388888887,7.901284722222222,32.548923611111114
2015-09-15_09:00:00,36.52416129218207,53.398705554538296,4.4091998732752264,0.009328906560953731,1.1373248804852252,-5.510920138888888,1.9035069444444443,56.4521875
2015-09-15_09:30:00,35.771358545621226,52.1142222044203,3.521246831160453,-0.004410591909238266,1.155130465271305,-10.859930555555556,48.600590277777776,40.12828125
2015-09-15_10:00:00,35.423183573087066,54.97053882810804,2.4096202400074493,0.007289581039998059,1.107228991163389,-4.425590277777777,-26.60755208333333,-53.06241319444445
2015-09-15_10:30:00,35.458490534358546,53.17142223570082,0.9918250987678766,0.006575195285711541,1.1184694321676232,11.934392361111113,-27.244965277777773,-55.38050347222222
2015-09-15_11:00:00,37.29325715806749,51.169611104329434,1.0941309926658869,-0.04430234685887828,1.1899167753064093,13.504756944444445,-38.47814236111111,41.86378472222222
2015-09-15_11:30:00,24.91049723943075,134.52429431703356,0.1426363893147532,0.028928298844225032,0.4745680519169377,-2.3394444444444447,53.41550347222223,4.1466666666666665
2015-09-15_12:00:00,37.71379190074073,91.9237055375841,0.2407549715523297,0.008297842057929503,0.9145415091021508,-25.23253472222223,21.646319444444448,20.07211805555556
2015-09-15_12:30:00,35.09945062955892,92.6592887681106,0.20726842977166626,0.14413952058849466,0.8344131810324532,-33.75581395348837,32.55490221987315,0.8448070824524313
2015-09-15_13:00:00,33.723973925908396,85.99334996965194,0.8275962030080457,-0.004654424897825164,0.8153211775312071,-39.966388888888886,25.435,0.8775347222222222
